+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
+-----------------------------------------------------------------------------------+-----------+-----------------------+
| Cambridge Rindge and Latin                                                        | 92        | 35113.7               |
| Martha's Vineyard Charter Public School                                           | 62.5      | 35079.24              |
| Martha's Vineyard Regional High                                                   | 91.3      | 34611.23              |
| Minuteman Regional High                                                           | 90.5      | 32814.39              |
| Weston High                                                                       | 100       | 30295.95              |
| Codman Academy Charter Public School                                              | 84        | 27954.15              |
| Joseph P Keefe Technical High School                                              | 91.4      | 26597.62              |
| Another Course To College                                                         | 92.1      | 26589.17              |
| Boston Adult Tech Academy                                                         | 42.9      | 26589.17              |
| Boston Arts Academy                                                               | 85.9      | 26589.17              |
| Boston Collaborative High School                                                  | 18.5      | 26589.17              |
| Boston Community Leadership Academy                                               | 78.2      | 26589.17              |
| Boston International High School & Newcomers Academy                              | 50.5      | 26589.17              |
| Boston Latin Academy                                                              | 97.9      | 26589.17              |
| Boston Latin School                                                               | 97.6      | 26589.17              |
| Brighton High School                                                              | 68.2      | 26589.17              |
| Burke High School                                                                 | 80.1      | 26589.17              |
| Charlestown High School                                                           | 51.2      | 26589.17              |
| Community Academy                                                                 | 47.8      | 26589.17              |
| Community Academy of Science and Health                                           | 67        | 26589.17              |
| Dearborn 6-12 STEM Academy                                                        | 92        | 26589.17              |
| East Boston High School                                                           | 89.1      | 26589.17              |
| English High School                                                               | 79.1      | 26589.17              |
| Excel High School                                                                 | 77.6      | 26589.17              |
| Fenway High School                                                                | 87.5      | 26589.17              |
| Greater Egleston High School                                                      | 39        | 26589.17              |
| Henderson K-12 Inclusion School Upper                                             | 81.5      | 26589.17              |
| Lyon High School                                                                  | 93.3      | 26589.17              |
| Madison Park Technical Vocational High School                                     | 71        | 26589.17              |
| Margarita Muniz Academy                                                           | 72.9      | 26589.17              |
| McKinley Schools                                                                  | 34.3      | 26589.17              |
| New Mission High School                                                           | 94.7      | 26589.17              |
| O'Bryant School of Math & Science                                                 | 100       | 26589.17              |
| Quincy Upper School                                                               | 91.5      | 26589.17              |
| Snowden International High School                                                 | 78.8      | 26589.17              |
| TechBoston Academy                                                                | 88.7      | 26589.17              |
| Community Charter School of Cambridge                                             | 90.9      | 26306.33              |
| Hull High                                                                         | 90.5      | 26154.61              |
| Brookline High                                                                    | 95.6      | 25689.75              |
| Watertown High                                                                    | 88.4      | 25550.44              |
| Upper Cape Cod Vocational Technical                                               | 100       | 25338.64              |
| Nantucket High                                                                    | 93        | 25267.23              |
| Cape Cod Region Vocational Technical                                              | 92.6      | 25144.25              |
| Franklin County Technical                                                         | 93.3      | 25107.13              |
| Rockport High                                                                     | 97        | 24917.77              |
| Charles McCann Vocational Technical                                               | 93        | 24890.29              |
| Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School | 98.9      | 24835.64              |
| Boston Preparatory Charter Public School                                          | 88.7      | 24681.45              |
| Shawsheen Valley Vocational Technical High School                                 | 98.1      | 24679.92              |
| Amherst Regional High                                                             | 92.1      | 24555.36              |
| Pathfinder Vocational Technical                                                   | 89.1      | 24381.2               |
| City on a Hill Charter Public School                                              | 78.5      | 24310.37              |
| Burlington High                                                                   | 97.1      | 24192.14              |
| Wellesley Sr High                                                                 | 97.9      | 24183.11              |
| Lowell Middlesex Academy Charter School                                           | 17.2      | 24167.84              |
| Lincoln-Sudbury Regional High                                                     | 97.9      | 24060.71              |
| Match Charter Public School                                                       | 95.7      | 24035.64              |
| Dedham High                                                                       | 94.5      | 24010.81              |
| Monument Mt Regional High                                                         | 91.3      | 23998.57              |
| Pioneer Valley Regional                                                           | 100       | 23884.6               |
| Mohawk Trail Regional School                                                      | 86.4      | 23807.15              |
| Norfolk County Agricultural                                                       | 98.5      | 23658.3               |
| Blue Hills Regional Vocational Technical                                          | 98.5      | 23629.7               |
| Waltham Sr High                                                                   | 83.1      | 23607.2               |
| Newton North High                                                                 | 97.1      | 23431.12              |
| Newton South High                                                                 | 98.4      | 23431.12              |
| Concord Carlisle High                                                             | 98.7      | 23344.72              |
| Mt Everett Regional                                                               | 92.2      | 23341.36              |
| Smith Vocational and Agricultural High                                            | 95.2      | 23303.33              |
| Nauset Regional High                                                              | 91.7      | 23259.47              |
| Prospect Hill Academy Charter School                                              | 94.4      | 23236.3               |
| Gr Lawrence Regional Vocational Technical                                         | 97.6      | 23074.47              |
| Boston Collegiate Charter School                                                  | 91.3      | 23073.48              |
| Gr New Bedford Vocational Technical                                               | 94.8      | 22932.96              |
| Falmouth High                                                                     | 88        | 22868.01              |
| Full Circle High School                                                           | 36.8      | 22729.93              |
| Somerville High                                                                   | 91.9      | 22729.93              |
| Old Colony Regional Vocational Technical                                          | 99.2      | 22711.27              |
| Tri-County Regional Vocational Technical                                          | 98.2      | 22170.02              |
| South Shore Vocational Technical High                                             | 94.9      | 22165.9               |
| Masconomet Regional High School                                                   | 96.4      | 22151.29              |
