+----------------------------------------------------------------------------------------------+--------+
|                                             name                                             | pupils |
+----------------------------------------------------------------------------------------------+--------+
| Boston                                                                                       | 63065  |
| Springfield                                                                                  | 29638  |
| Worcester                                                                                    | 26958  |
| Lynn                                                                                         | 17774  |
| Brockton                                                                                     | 17023  |
| Lowell                                                                                       | 16264  |
| Lawrence                                                                                     | 15279  |
| New Bedford                                                                                  | 14196  |
| Fall River                                                                                   | 12271  |
| Newton                                                                                       | 12201  |
| Quincy                                                                                       | 9716   |
| Framingham                                                                                   | 9463   |
| Haverhill                                                                                    | 8450   |
| Taunton                                                                                      | 8140   |
| Revere                                                                                       | 7861   |
| Everett                                                                                      | 7781   |
| Plymouth                                                                                     | 7731   |
| Chicopee                                                                                     | 7424   |
| Cambridge                                                                                    | 7292   |
| Chelsea                                                                                      | 7138   |
| Lexington                                                                                    | 7002   |
| Methuen                                                                                      | 6939   |
| Malden                                                                                       | 6933   |
| Brookline                                                                                    | 6899   |
| Wachusett                                                                                    | 6858   |
| Holyoke                                                                                      | 6460   |
| Leominster                                                                                   | 6254   |
| Shrewsbury                                                                                   | 6250   |
| Attleboro                                                                                    | 6203   |
| Peabody                                                                                      | 6036   |
| Weymouth                                                                                     | 5927   |
| Arlington                                                                                    | 5865   |
| Fitchburg                                                                                    | 5830   |
| Pittsfield                                                                                   | 5810   |
| Andover                                                                                      | 5692   |
| Needham                                                                                      | 5633   |
| Braintree                                                                                    | 5628   |
| Waltham                                                                                      | 5618   |
| Bridgewater-Raynham                                                                          | 5598   |
| Natick                                                                                       | 5402   |
| Marlborough                                                                                  | 5366   |
| Acton-Boxborough                                                                             | 5345   |
| Franklin                                                                                     | 5311   |
| Barnstable                                                                                   | 5306   |
| Westfield                                                                                    | 5200   |
| Somerville                                                                                   | 5156   |
| Chelmsford                                                                                   | 5068   |
| Westford                                                                                     | 4851   |
| Beverly                                                                                      | 4825   |
| Billerica                                                                                    | 4802   |
| North Andover                                                                                | 4663   |
| Milford                                                                                      | 4610   |
| Belmont                                                                                      | 4537   |
| Winchester                                                                                   | 4531   |
| Woburn                                                                                       | 4494   |
| Wellesley                                                                                    | 4487   |
| Medford                                                                                      | 4473   |
| Milton                                                                                       | 4413   |
| Salem                                                                                        | 4364   |
| North Attleborough                                                                           | 4207   |
| West Springfield                                                                             | 4071   |
| Dracut                                                                                       | 4057   |
| Melrose                                                                                      | 4015   |
| Hopkinton                                                                                    | 4008   |
| Reading                                                                                      | 4001   |
| Hingham                                                                                      | 3958   |
| Westborough                                                                                  | 3904   |
| Marshfield                                                                                   | 3902   |
| Walpole                                                                                      | 3791   |
| Whitman-Hanson                                                                               | 3709   |
| Mansfield                                                                                    | 3639   |
| Agawam                                                                                       | 3629   |
| Stoughton                                                                                    | 3612   |
| Sharon                                                                                       | 3600   |
| Dudley-Charlton Reg                                                                          | 3588   |
| Norwood                                                                                      | 3559   |
| Dartmouth                                                                                    | 3541   |
| Burlington                                                                                   | 3519   |
| Easton                                                                                       | 3480   |
| Wakefield                                                                                    | 3435   |
| Danvers                                                                                      | 3430   |
| Tewksbury                                                                                    | 3416   |
| Randolph                                                                                     | 3339   |
| Dennis-Yarmouth                                                                              | 3300   |
| Grafton                                                                                      | 3268   |
| Canton                                                                                       | 3261   |
| Falmouth                                                                                     | 3232   |
