+-------------+---------------+------+----+----------+
| first_name  |   last_name   | year | HR |  salary  |
+-------------+---------------+------+----+----------+
| Don         | Aase          | 1989 | 0  | 400000   |
| Don         | Aase          | 1988 | 0  | 675000   |
| Don         | Aase          | 1987 | 0  | 625000   |
| Don         | Aase          | 1986 | 0  | 600000   |
| Jeff        | Abbott        | 2001 | 0  | 300000   |
| Jeff        | Abbott        | 2000 | 3  | 255000   |
| Jeff        | Abbott        | 1999 | 2  | 255000   |
| Jeff        | Abbott        | 1998 | 12 | 175000   |
| Jim         | Abbott        | 1999 | 0  | 400000   |
| Jim         | Abbott        | 1996 | 0  | 2200000  |
| Jim         | Abbott        | 1995 | 0  | 2775000  |
| Jim         | Abbott        | 1995 | 0  | 2775000  |
| Jim         | Abbott        | 1994 | 0  | 2775000  |
| Jim         | Abbott        | 1993 | 0  | 2350000  |
| Jim         | Abbott        | 1992 | 0  | 1850000  |
| Jim         | Abbott        | 1991 | 0  | 357500   |
| Jim         | Abbott        | 1990 | 0  | 185000   |
| Jim         | Abbott        | 1989 | 0  | 68000    |
| Kurt        | Abbott        | 2001 | 0  | 600000   |
| Kurt        | Abbott        | 2000 | 6  | 500000   |
| Kurt        | Abbott        | 1999 | 8  | 900000   |
| Kurt        | Abbott        | 1998 | 3  | 1000000  |
| Kurt        | Abbott        | 1998 | 2  | 1000000  |
| Kurt        | Abbott        | 1997 | 6  | 650000   |
| Kurt        | Abbott        | 1996 | 8  | 250000   |
| Kurt        | Abbott        | 1995 | 17 | 119000   |
| Kurt        | Abbott        | 1994 | 9  | 109000   |
| Kurt        | Abbott        | 1993 | 3  | 109000   |
| Kyle        | Abbott        | 1995 | 0  | 150000   |
| Kyle        | Abbott        | 1992 | 0  | 109000   |
| Paul        | Abbott        | 2001 | 0  | 1700000  |
| Paul        | Abbott        | 2000 | 0  | 285000   |
| Paul        | Abbott        | 1999 | 0  | 235000   |
| Paul        | Abbott        | 1992 | 0  | 126000   |
| Paul        | Abbott        | 1990 | 0  | 100000   |
| Shawn       | Abner         | 1992 | 1  | 297500   |
| Shawn       | Abner         | 1991 | 2  | 180000   |
| Shawn       | Abner         | 1991 | 1  | 180000   |
| Shawn       | Abner         | 1990 | 1  | 105000   |
| Shawn       | Abner         | 1989 | 2  | 77500    |
| Shawn       | Abner         | 1988 | 2  | 63500    |
| Bobby       | Abreu         | 2001 | 31 | 4983000  |
| Bobby       | Abreu         | 2000 | 25 | 2933333  |
| Bobby       | Abreu         | 1999 | 20 | 400000   |
| Bobby       | Abreu         | 1998 | 17 | 180000   |
| Bobby       | Abreu         | 1997 | 3  | 150000   |
